,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
96,1427.88,1424.320493,1423.740603,2543637,2592894,51.28850364,45.6499227,54.19049746,1433.6895,1433.265,1.970115501,1.898378786,0.244491145,0.217366566
2164,2087.89,2057.696661,2054.315918,6191288,5030784,52.1019328,48.45259767,49.03329732,2064.672,2062.7695,-6.449087178,-8.432974868,0.137976517,0.151666531
891,1607.5,1622.339592,1631.277279,3581603,4752322,32.88676765,26.80918791,32.46375729,1669.9805,1678.4845,-32.02821227,-29.67368376,0.096664635,0.0566158
926,1738.45,1724.738686,1718.838394,3928527,5344594,63.60836057,66.07297244,61.32491819,1715.541,1713.3725,14.87991341,13.0235448,0.246953894,0.292328252
557,1162.11,1140.404941,1134.592705,3847453,3452663,54.00385257,52.83729217,42.67601732,1152.553,1150.118,0.362266512,-2.179131767,0.14706462,0.152934934
2280,1930.53,1962.648412,1972.401393,3590183,3044626,34.54296455,44.33501658,45.75013318,1964.382,1968.9085,-9.092598526,-5.168424901,-0.042626826,-0.071803579
1409,1825.38,1869.746281,1874.714344,3007079,3901697,44.99954121,53.42501523,56.97605259,1850.742,1848.8035,-3.191398409,-1.362779451,0.271725291,0.305858608
1094,2003.42,1967.462911,1964.42578,2912990,3057144,49.11818919,44.92903384,44.72635382,1970.732,1970.5365,-15.80266948,-18.296466,0.188643009,0.150509868
1971,1968.39,2017.342676,2026.494382,3226562,3515810,27.39038078,30.79799455,39.20543171,2035.567,2040.152,-13.07088388,-9.546543752,-0.117229792,-0.117595922
1684,1914.03,1896.883052,1892.401508,3668811,3375856,59.64058416,55.52171127,59.084829,1871.2945,1868.193,9.516440333,7.861187101,0.152376435,0.062735717
483,1288.53,1353.730207,1378.676919,4613276,4518061,26.17866715,30.26611689,28.67885539,1415.483,1426.6585,-48.24327743,-39.4542506,0.105398702,0.108872122
1524,1949.62,1926.306288,1921.698796,4925757,2948023,59.89328247,56.61280942,58.4236664,1906.7305,1906.256,5.420768625,3.465868733,0.269534361,0.290265721
1129,2166.63,2175.808304,2183.950149,2539342,3441942,47.83470166,49.5260284,57.03176837,2168.43,2167.87,24.08984984,29.6606847,0.079703647,0.109502226
932,1769.07,1738.028284,1733.576792,3727637,4051793,61.83181741,56.30893515,61.14020382,1719.086,1717.675,15.52211095,14.44500695,0.085477209,0.07167936
1912,2006.66,2002.187119,2001.535368,2283390,2415139,52.93938387,54.90028694,55.45060568,1997.527,1996.773,2.908234313,2.746783954,0.183408443,0.142904263
1268,1856.52,1822.046367,1823.550004,2776824,3064138,46.20195564,40.24515325,42.33415245,1859.4735,1864.161,-15.04540759,-15.01044513,-0.016003145,-0.083790983
1249,1898.01,1887.446336,1882.516633,3536258,3937030,59.14672374,59.08043401,62.27871338,1836.05,1825.878,32.10032656,31.6205878,0.058181638,0.095197632
2331,1996.81,1973.703941,1970.135928,3232603,3858475,67.62724741,68.91073211,67.92141022,1952.2205,1948.5445,20.5162911,20.11613283,-0.022937968,0.0412035
2499,1971.26,1981.658601,1980.260513,3082001,2313682,47.31896612,45.88131369,39.965931,1988.2215,1989.5185,-12.45908135,-13.94929456,-0.114172471,-0.117101576
1738,2035.75,2036.071955,2031.616834,3787835,2819276,73.37112737,72.62015054,72.4787907,2017.3715,2014.8445,23.76926889,23.23771087,0.090942027,0.046817538
292,1852.73,1887.936935,1895.600698,2470859,2294241,42.72999409,49.05297121,50.89245029,1901.5605,1902.766,-9.372832089,-6.490537356,-0.004871327,0.011512718
626,1415.16,1374.330519,1365.930635,7322058,7705541,69.37359736,67.90687954,66.89019848,1351.832,1344.329,40.47957109,39.25965359,0.198346639,0.104563575
733,1615.46,1641.676112,1651.381915,4112687,3903926,38.92034414,39.00419693,40.56454115,1663.4445,1664.529,3.963376796,9.090926986,-0.003766108,0.069346498
1161,2070.29,2063.742481,2057.727477,2941018,2596378,51.97500529,45.07615258,46.50312599,2078.7855,2078.8405,-14.48149731,-18.23771018,-0.008297805,-0.015141101
