,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
1743,2059.58,2041.546006,2039.276229,3076542,2575284,63.92915071,62.88915957,58.68811028,2026.5235,2024.5255,19.40057498,19.67034047,0.056682216,0.010118287
2391,1981.12,1976.000018,1981.022244,4852691,4387945,39.92219814,39.29933676,44.40493853,1976.868,1976.537,-1.844731473,0.437488574,0.125953565,0.142931653
27,1426.46,1420.706799,1417.672755,2311041,2521917,67.2932256,66.56375174,63.13322203,1408.9385,1406.4145,14.57901659,14.11432122,0.341110567,0.34436122
2065,1976.12,1954.776677,1951.751494,3475805,3045315,61.24727143,58.65929247,57.43460045,1949.92,1947.562,7.713091182,6.790942831,0.066024708,0.137444961
2009,1980.78,1970.367783,1967.762845,2955094,2532877,58.915057,58.45526032,58.23652161,1958.8295,1957.6715,5.054378096,4.056054552,0.008888349,0.101139698
1321,2025.32,1987.23065,1983.80635,5158811,4527869,65.12486517,66.13747415,64.12757178,1958.544,1952.196,34.01505941,34.60319715,0.291875445,0.308247866
1219,1837.97,1812.296725,1810.375997,3355846,4300660,46.92889296,48.75987194,41.45085557,1803.115,1805.097,-32.8911874,-36.20866448,-0.15705474,-0.144354106
908,1731.48,1693.805298,1683.61092,3919090,2937418,66.99249977,61.87624943,61.06175902,1654.25,1647.275,13.8596732,9.762142435,0.401206817,0.321133112
1231,1759.77,1731.153424,1735.783074,3526251,3362959,43.18875885,38.44273113,41.34776671,1768.387,1772.1625,-41.49887833,-42.02796129,0.002642105,-0.015065108
477,1419.65,1458.030391,1462.110478,3142163,4128095,44.78693681,46.01787815,47.20980514,1449.797,1448.1705,-10.59599889,-9.559711526,0.24779675,0.24118757
1702,1885.84,1885.774216,1885.310708,3162954,3749629,49.37680141,44.30332393,37.37565478,1898.1455,1899.293,-2.689177675,-2.953040647,-0.005912207,-0.024490173
2127,2143.5,2124.059274,2119.161335,4445850,3981464,61.17713784,54.82915187,61.54121865,2124.9855,2124.875,10.16216434,8.609104391,0.053739397,0.003039135
1444,1932.44,1891.374687,1879.146839,3265297,4952727,67.91121299,67.16885009,61.90677901,1846.5775,1839.902,22.7985712,18.30194306,0.090682299,0.088229745
2018,1916.59,1969.802705,1975.189972,3678899,5411620,40.46867172,50.9931772,55.19277377,1968.9075,1969.993,2.441075004,5.104385848,-0.055197045,-0.016345571
1649,1909.91,1956.956679,1965.018163,2881599,2717324,36.06691324,38.81779349,35.45190063,1972.9815,1974.185,-4.697661745,-1.084074902,-0.203897782,-0.245227929
13,1407.37,1385.580236,1383.1114,1786082,1685121,62.99408568,62.63895417,64.87304239,1373.533,1371.5345,10.02661212,9.470338168,0.229997504,0.230097298
1974,1940.92,1995.303284,2001.981791,2661801,3282340,26.70834651,28.38265292,25.83517216,2022.9425,2027.493,-20.24746525,-18.2889118,-0.161524837,-0.168310014
896,1664.13,1631.856963,1625.194066,3087597,3140948,51.47099595,44.95363683,46.97526865,1644.4365,1647.405,-19.6074978,-24.01885038,0.217138209,0.168601531
457,1426.89,1473.87394,1488.703705,3733707,3165926,23.00892276,23.74950733,31.46509503,1522.783,1529.5785,-39.6058048,-35.10871944,-0.203527402,-0.212439807
240,1983.94,2008.934386,2009.639805,5487062,3838736,59.53861991,66.07506657,64.99723215,1961.0935,1951.4815,46.13024609,49.37388671,0.259460001,0.263015485
438,1578.71,1565.934624,1572.688985,2447852,2465205,38.84057487,39.89995205,44.51134667,1558.271,1558.1675,-24.17786124,-22.82722478,-0.04701625,-0.028031209
759,1571.99,1583.04005,1585.331172,2827709,2632729,42.52279099,47.16974751,43.9458711,1604.8055,1609.1185,-17.19943648,-17.23094376,-0.080744873,-0.058091572
2480,2019.42,2032.378683,2034.213945,2986908,3924024,45.38003515,41.40226083,48.93250035,2040.2695,2041.7165,-3.548280029,-2.882847986,-0.040004259,-0.123099991
1652,1883.1,1927.876378,1936.462239,2792811,3064310,31.37898491,28.75626424,33.75846845,1962.636,1966.737,-16.44327873,-13.25697612,-0.371726628,-0.345777818
2319,1955.63,1924.072306,1916.495041,4209844,3233523,62.70809356,60.52541358,53.256096,1905.8285,1903.523,8.477920657,5.345347642,0.159809783,0.155569524
683,1524.32,1485.891612,1476.97197,4314272,5040752,73.97404352,73.68168946,70.32707484,1448.2205,1441.4225,30.68507209,28.33924603,0.250869195,0.194641992
2259,2009.29,2008.760427,2005.38941,5733420,4528657,54.47404272,46.18250903,57.43334698,2004.1345,2005.358,1.087923697,-0.457584215,-0.074398722,-0.112391524
1906,2002.21,1989.654506,1989.90884,2188450,2735083,48.29608157,50.58233226,45.73910864,1995.58,1997.0075,-2.62056398,-2.630447973,0.009097436,0.0656285
173,1861.01,1791.769667,1779.320704,5340448,4170111,72.44824316,71.33435672,66.98594273,1769.9835,1765.246,36.43675932,33.08267092,0.174152308,0.239372376
