,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
171,1838.41,1766.189749,1757.454138,4019571,3023314,66.98594273,61.33432269,55.59905239,1760.435,1757.0395,29.27548651,27.34114587,0.231042532,0.218377687
2126,2146.1,2119.161335,2118.350521,3981464,4521140,54.82915187,61.54121865,55.94686027,2124.875,2125.974,8.609104391,8.87295727,0.003039135,0.021205662
490,1134.59,1264.614392,1279.839812,3891899,3730149,33.82131816,34.60828825,31.12883486,1353.0815,1366.2935,-66.61360732,-63.57738255,0.14194154,0.12865806
2004,1964.84,1956.047456,1955.604669,3392171,2795592,50.44765476,53.96028833,54.01566084,1949.6755,1948.356,-1.328303855,-1.735804586,0.030829484,0.011733995
861,1710.59,1715.279371,1716.385898,4166404,4525310,58.07293075,65.10273136,70.29411829,1699.384,1696.344,20.4774116,22.31834697,0.173956615,0.196495963
1916,1993.88,2000.079391,2002.599256,2770181,3276390,45.54626476,51.76806301,50.7308931,1996.0155,1996.121,1.388908068,2.64177129,0.1625859,0.158568861
664,1411.48,1392.574429,1388.333191,5055282,4731321,55.77687664,50.49323227,50.07765013,1393.2085,1393.37,2.014082156,0.218856743,-0.014339555,-0.056112236
93,1436.05,1425.451518,1421.922967,2450536,2273881,55.98092698,50.91885223,51.01399058,1433.1925,1432.305,3.185623399,1.854830398,0.301434181,0.259348985
1940,2053.13,2053.758114,2051.655473,2708495,2806638,59.46027631,59.17819547,51.57870432,2049.8845,2047.7685,10.64517683,10.43104907,0.032760227,0.021813863
1650,1882.73,1948.402737,1956.956679,2533818,2881599,33.75846845,36.06691324,38.81779349,1971.042,1972.9815,-8.33443022,-4.697661745,-0.269332476,-0.203897782
887,1600.18,1668.729628,1677.318434,4175025,4933350,35.477116,37.69746062,39.12637644,1701.394,1705.7915,-16.4196901,-13.30792278,0.151941631,0.127671245
