,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
1602,1983.22,1987.574,1987.890445,4961147,2691521,49.62566176,53.40235198,57.04872612,1987.862,1989.385,0.084574592,0.204087852,-0.104300633,-0.169881186
512,1003.73,1055.648398,1079.416931,4240699,4046066,31.27379442,36.11773756,37.65509777,1070.1745,1075.2255,-56.75915817,-49.51324972,0.08445272,0.107586345
476,1439.67,1462.110478,1465.232806,4128095,3658830,46.01787815,47.20980514,50.1095434,1448.1705,1446.489,-9.559711526,-8.952236221,0.24118757,0.153140213
1357,2029.03,2027.978324,2027.802396,5493082,6215445,52.37719803,49.70056788,58.99502925,2029.177,2027.7765,6.602536854,7.022438397,0.005064769,-0.011921157
2221,2019.53,1975.697764,1968.99949,7617198,6616356,60.38805594,57.55569534,55.12336889,1960.0575,1953.9265,10.51287863,7.959853752,0.039440959,-0.02003253
1314,1973.13,1949.459952,1944.375497,5358792,6410473,64.30978372,67.79074932,63.99936268,1908.4055,1903.0995,31.14824353,30.65950147,0.216014205,0.16157281
137,1589.37,1582.913681,1577.834499,4778175,3735836,77.59703059,77.16019902,76.41033064,1558.848,1554.5985,29.62764789,29.17154749,0.161698111,0.20594593
673,1420.86,1407.158406,1411.958052,4268144,4466822,45.04582167,42.63622834,58.91919829,1400.031,1400.7105,4.699670665,7.265384255,0.058103516,0.071604995
1009,1913.81,1928.004415,1931.312063,4654690,3731753,52.08649583,52.52798571,70.95334651,1912.322,1911.7805,18.78252963,21.58705302,0.091690649,0.167457886
568,1175.47,1183.399415,1181.390396,5748464,4881113,55.4049978,53.16541835,55.28095793,1159.0785,1158.5905,13.97487066,13.8985623,0.19823817,0.171482165
573,1099.55,1135.905662,1151.451364,5874411,6415109,34.50895735,40.16864735,41.09486081,1157.143,1159.026,-9.295827395,-2.43535541,0.05770059,0.100730944
721,1695.5,1658.328692,1649.132845,5000954,5278737,72.89584003,72.29433761,70.55713852,1629.236,1623.2995,33.40153811,31.23806095,0.224755378,0.251728953
2478,2013.89,2038.730378,2039.077128,2991016,2520412,48.93250035,52.99635394,47.33236678,2044.163,2044.66,-0.949982389,-0.839452374,-0.028431991,-0.054957335
2404,1974.08,1970.3336,1974.158844,4574388,4054870,44.790582,54.88216778,56.64045716,1972.5415,1976.2395,-1.986669656,-0.3941597,0.094760193,0.175947467
1209,1867.75,1835.208868,1825.099728,5003996,4103495,48.28739531,48.22028902,44.07532704,1832.3915,1841.6695,-53.18569868,-61.77331511,-0.088374119,-0.050106394
169,1771.35,1754.366169,1756.758651,2816755,2828044,55.59905239,57.94295097,53.80481578,1754.284,1752.1495,27.95162534,31.14970459,0.147876374,0.214613709
1073,1977.22,2028.261174,2036.961435,2976343,2750287,36.29548361,39.91358852,40.62850024,2066.473,2072.426,-15.08331693,-11.70026229,-0.369983975,-0.261306494
466,1425.26,1445.186136,1457.949722,3927674,3117453,35.71889612,47.60301586,40.53748864,1465.53,1474.528,-31.88868051,-28.16102337,0.027900682,0.007743201
1344,2042.15,2028.240486,2024.071705,5558009,4642422,60.10618904,57.54698812,60.20830667,2019.033,2017.8565,16.64854138,15.82882183,0.030611013,-0.015502676
314,1690.13,1651.380841,1655.125473,3080873,3341276,37.75118084,36.22257762,30.49094943,1708.737,1720.2055,-62.90753113,-65.19879047,-0.068468485,-0.031321422
2093,2045.42,2028.195606,2028.001296,6558636,5428013,58.58394446,58.36343233,64.87099876,2017.014,2015.4795,14.99096324,15.92210438,-0.106373248,-0.036364875
979,1879.29,1849.553236,1843.513955,3661968,3535470,73.42742401,72.67851173,71.46698989,1818.7985,1812.0995,27.98826462,26.89335254,0.231120964,0.22401009
1059,2086.67,2089.213289,2090.780687,3402411,3953963,56.55218736,53.05394328,68.40521934,2079.2035,2076.5755,23.22841136,25.60360635,0.225041073,0.151440406
1234,1809.5,1751.497781,1741.826177,3999852,2746387,51.45131264,48.69655876,48.05784809,1762.108,1764.689,-25.57670226,-31.93087779,-0.119120834,-0.059160108
2167,2083.62,2067.050703,2065.659748,8706798,8192271,51.55256091,52.56080519,55.79265843,2069.3715,2068.464,-1.439319434,-2.258823165,0.176244634,0.195076468
1732,2040.96,2006.701132,2003.685828,2207394,2542864,66.36661642,69.07355799,61.71358761,2004.248,2001.968,18.83558499,18.74163536,0.139707438,0.221390381
1516,1908.51,1894.658023,1890.95314,3299510,4128170,51.17289251,47.58167476,42.44471697,1899.6195,1898.6245,-11.19221091,-13.68331308,0.240621003,0.157023412
265,1806.99,1939.750304,1954.752593,3317552,2923238,37.009991,39.14935022,42.68129272,1987.6275,1991.4145,-18.68089556,-12.53734473,0.10994783,0.10962786
44,1434.46,1426.505271,1426.817554,1759401,2186665,54.38875431,58.9012645,60.79712814,1418.906,1418.2245,8.633386087,9.312758543,0.005116609,0.026830392
1284,1848.41,1837.837533,1847.788096,3897722,6843140,41.34894576,38.73855424,46.19953023,1854.45,1856.111,-11.16728041,-7.025489613,0.009594408,0.010770518
957,1760.13,1749.320974,1753.712301,2455806,3030490,42.0366313,42.09208862,43.43014871,1763.258,1764.7465,-1.222121119,0.877320021,0.128567902,0.079149756
1295,1843.14,1851.056327,1848.237733,5337685,4945002,52.217574,52.67290479,54.30222751,1849.1105,1851.8945,-1.326106676,-2.781277055,-0.020047834,0.04998736
2282,1904.33,1951.103483,1956.808701,5946129,4465488,37.50345127,38.5838017,34.54296455,1958.7565,1961.205,-12.99660893,-11.1245568,-0.002145921,-0.033485012
1792,1938.54,1966.276295,1970.757693,2764022,2170704,37.4637517,41.00799649,41.14300523,1975.265,1977.9785,-11.41102214,-10.01993047,-0.042320994,0.013218189
1468,2002.35,1940.279008,1925.323232,10238634,9830782,70.01350521,60.62292152,60.48963037,1925.95,1922.898,16.62644409,10.72190942,0.129641654,0.049937811
471,1495.98,1448.430568,1441.110695,4703495,3543325,51.33933175,48.51552548,47.9068606,1446.602,1447.639,-20.73488942,-25.66531544,0.115716701,0.05382693
579,1025.57,1078.75577,1092.077053,4139489,4983089,32.45972936,38.02861846,36.13267136,1133.3385,1139.7455,-29.4347075,-24.87874888,-0.021413845,-0.014392992
2185,1968.52,2004.086786,2008.670516,3765911,5242522,34.31086686,30.81392265,33.10363654,2030.6355,2035.857,-20.13918086,-19.21531489,-0.079911329,-0.031889415
42,1433.92,1425.239232,1422.516839,2183486,1930260,60.79712814,60.45947391,63.34522919,1417.785,1416.997,9.146390172,8.437514321,0.078590396,0.089417551
262,1926.2,1977.742269,1984.40944,3676791,3620938,45.17170082,48.18221684,42.49608774,1994.1265,1996.994,-2.428338217,0.834331899,0.088821603,0.140354062
1340,2045.08,2010.613882,2007.408078,4489220,3754798,56.85480178,52.13521882,56.13189886,2012.963,2011.998,12.80606667,12.30041261,0.076381426,0.075863447
1949,2068.54,2064.751159,2062.30475,3058774,3376124,59.68239843,59.41713882,57.25235622,2061.3125,2061.655,9.756811065,9.27772211,-0.138301146,-0.092526694
2144,2041.88,2053.706544,2057.894665,3547230,3814082,33.47208424,30.39631834,33.59043555,2083.2745,2087.574,-18.80269982,-17.94288916,-0.121093761,-0.13150572
2411,2021.11,1992.156243,1986.577631,4778081,3402273,60.37857331,58.47082809,57.75446269,1976.6125,1973.4195,7.679464283,5.471859014,0.289963927,0.248424132
1757,2031.64,1998.812316,1996.146163,3139668,2646911,51.01411758,49.59798456,37.17637704,2018.1985,2020.3085,-6.414893216,-7.920390281,-0.09300993,-0.059787832
1867,1964.77,1988.646741,1992.954905,1688331,2083644,42.45616314,43.46974669,57.68573866,1993.9825,1994.8,4.908023618,7.317468329,0.063731484,0.126800106
1801,1947.59,1958.497738,1955.848347,2438568,2893273,51.0221815,48.44645874,44.22993951,1965.961,1966.6075,-8.26058179,-10.0763038,-0.00718247,-0.015965801
1559,1964.43,1968.054879,1970.74263,4650083,3494659,43.31613838,36.84674361,38.60407959,1988.395,1990.4495,-5.029392525,-3.921249832,-0.016996947,-0.033575324
403,1774.13,1778.522163,1784.702644,3349375,3754116,38.64702785,40.36766731,36.89156167,1810.25,1816.983,-16.50772753,-14.43301388,0.076540794,0.073243751
82,1469.88,1440.236778,1434.642728,3102808,2582402,70.25742023,66.50050983,67.39066699,1414.944,1410.8265,17.16488742,15.56578716,0.264674681,0.287262509
462,1464.98,1453.753306,1453.587374,4437120,3991302,41.77022704,45.29396763,26.51129848,1490.8225,1497.152,-36.46146276,-38.90162732,-0.059266933,-0.082903742
1747,2013.93,2038.653826,2041.650232,2352430,2941898,50.6643409,55.95774755,52.97039639,2034.6225,2033.213,13.43805445,15.8142198,0.139853766,0.176141277
1327,2007.8,2011.832454,2008.095222,8837390,7090185,65.53925007,64.73453651,64.94529494,1991.671,1987.85,32.3515352,32.76195364,0.151115927,0.065744075
789,1685.59,1655.361241,1649.365961,3309049,3717808,65.6883617,60.6275252,59.07607758,1630.932,1626.791,16.59448894,14.84401555,0.398844368,0.331998162
2360,1986.41,2000.832177,2005.872661,3281946,4010631,43.35515603,50.01364811,53.23041835,1996.3995,1996.1705,7.165094933,10.04780076,0.274544605,0.271677366
1014,1944.34,1922.546307,1918.454375,2926907,2714250,59.09760554,56.03235105,47.44826638,1922.5065,1920.324,11.54448033,10.52282425,0.168833976,0.175435667
2540,2065.99,2065.27943,2065.20597,3926472,4156690,58.5685844,62.83402921,62.02935333,2052.5795,2051.0855,13.6619536,14.51595737,0.165534751,0.176577683
762,1603.97,1583.632454,1583.110777,2959628,2463096,46.36354521,47.87419794,42.37219732,1594.8985,1598.557,-13.89771603,-15.08322698,-0.106107832,-0.041305548
2315,1920.16,1905.369903,1902.436548,3057899,2816006,53.9272026,52.51326992,52.93535016,1898.136,1896.879,0.371854253,-1.110568955,0.261369416,0.264694572
1886,2012.26,2006.367452,2003.99133,2106506,2217916,60.36609118,52.43740853,59.69707768,1988.858,1986.588,9.380498206,8.853388492,0.204599823,0.109067841
2015,1978.95,1975.506008,1973.036232,3055478,2443904,59.5596223,59.55574827,52.49943172,1968.5595,1966.222,5.889213268,5.079894267,0.077740771,0.088648067
59,1363.41,1381.530013,1386.190016,2226725,1812316,37.33469425,44.33024841,42.6881083,1399.796,1403.156,-10.17184415,-8.617764557,0.013232297,0.007250122
1558,1955.96,1970.74263,1977.63877,3494659,4018305,36.84674361,38.60407959,43.51586201,1990.4495,1992.8315,-3.921249832,-0.795274979,-0.033575324,-0.012942404
1114,2137.72,2117.804289,2112.760797,3566523,3717322,65.75701335,65.93043522,62.81828597,2090.304,2082.3355,32.5712814,32.31997604,0.420405149,0.407122691
2159,2027.81,2062.107395,2072.306817,4531181,5028094,35.38184286,40.15149257,43.21571997,2062.774,2064.5295,-7.019254872,-2.73136193,0.048904135,0.043058467
64,1363.1,1376.672465,1377.85968,1608828,1570487,43.21200657,47.20612671,47.46466505,1384.1955,1386.884,-9.254909342,-9.307931645,0.040364171,0.053001922
