,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
214,1865.59,1838.391335,1830.313854,4257108,3856531,56.17569414,57.26248197,56.3111241,1812.281,1811.2965,2.450036471,-1.453275665,0.023027146,0.106301032
1985,1931.97,1933.440317,1935.16261,4194278,3728335,35.73883746,37.12529906,38.35872265,1958.456,1963.9535,-28.74768855,-29.83838172,-0.10569142,-0.041623616
2397,1936.22,1963.354419,1971.466513,3942662,7505460,36.09818091,35.52164971,52.22709825,1980.261,1982.377,-7.225175074,-3.828237947,0.241534823,0.232291956
94,1407.37,1427.378515,1425.451518,2564247,2450536,54.19049746,55.98092698,50.91885223,1433.611,1433.1925,3.770767506,3.185623399,0.277073258,0.301434181
115,1525.61,1483.530523,1476.888417,3867654,3593014,73.58312906,70.12588159,71.2800427,1460.6945,1455.392,18.94214258,16.98940009,0.220347563,0.199377468
2010,1965.22,1972.260913,1970.367783,3406962,2955094,58.18823025,58.915057,58.45526032,1959.647,1958.8295,5.674439242,5.054378096,-0.021240497,0.008888349
2363,1982.5,1989.484356,1994.300879,3421893,3526958,40.27946542,43.47021016,47.25889965,1997.2945,1997.47,0.895164014,3.330314205,0.244916289,0.27608567
496,1084.72,1074.018693,1097.362847,7633983,6494288,27.34809451,28.78389016,22.15832463,1211.9765,1235.931,-118.9220533,-115.243282,0.000175304,0.085838836
2197,1915.22,1919.02522,1920.090825,3244792,3509427,41.0258872,45.69488836,44.87860865,1947.836,1952.549,-33.42616002,-35.18799785,0.013048867,0.022235677
575,1067.08,1117.401807,1129.295541,5762964,3960617,37.05807688,41.72858977,34.50895735,1154.833,1156.309,-16.62280959,-11.88456382,0.109191246,0.1027438
2443,2032.72,2039.637551,2040.745896,4009529,3785637,51.50582317,54.25188777,50.70894178,2037.89,2037.109,6.991514981,8.039798084,0.150262313,0.107876182
803,1710.22,1692.473459,1688.183117,4207515,4159039,62.57553314,60.24380588,56.17091442,1680.6745,1678.2975,17.04203681,16.20561626,0.167390474,0.149194995
996,1909.54,1892.823578,1886.915485,3518593,4081704,66.2138743,65.45553343,61.46108347,1886.127,1882.955,20.04581708,18.67289945,0.224944482,0.162968024
1565,1931.77,1954.248172,1958.261099,3492210,3666872,37.62666909,38.19992747,42.76990598,1970.8095,1973.5905,-9.526420914,-8.174454742,0.056521082,0.038454548
2202,1934.2,1901.690494,1906.803937,3918911,2881569,35.15300125,35.901527,36.34793571,1917.5485,1923.773,-30.95256056,-30.67719188,-0.066183163,-0.046673824
1766,2030.78,2023.835573,2019.161256,2453712,2762711,59.02167311,59.33084406,55.22688382,2008.4495,2008.177,5.538725729,3.633805846,-0.127005803,-0.094768848
918,1684.94,1696.709365,1701.451446,3566201,3449448,45.3507822,44.21974541,47.96395351,1698.4885,1696.6185,6.275655493,8.997590709,0.26361617,0.28595682
2483,1978.94,2022.659729,2026.053002,3217747,4006649,40.27907283,40.51751613,43.9054015,2033.659,2036.0325,-7.104547636,-5.920305298,-0.023374227,-0.056730362
1008,1913.12,1931.312063,1934.996966,3731753,3660126,52.52798571,70.95334651,66.80284478,1911.7805,1911.032,21.58705302,24.68872394,0.167457886,0.269938156
925,1751.29,1718.838394,1710.133593,5344594,4120544,66.07297244,61.32491819,61.09783125,1713.3725,1710.7385,13.0235448,9.780491857,0.292328252,0.336411506
1493,1913.96,1946.777489,1951.214708,5389889,4581030,40.31588384,44.70741634,45.40658534,1965.661,1969.439,-4.935984827,-3.055398376,-0.102858835,-0.019920323
1520,1932.9,1909.758269,1904.182328,3887908,4089076,57.18854811,51.15343692,55.221302,1903.6065,1901.786,-2.225487863,-5.09985578,0.329152025,0.298693387
1638,1979.97,1973.344397,1973.320929,2735516,3429357,53.32272756,52.04578703,61.01001159,1964.79,1962.883,7.78960865,8.22466415,-0.005452892,0.012486252
226,1919.26,1869.460716,1860.680875,4418544,4801124,58.39749366,57.65752521,49.14691806,1854.8675,1849.405,12.86794498,9.521232397,0.202231856,0.153482357
2012,1969.91,1970.044248,1970.980747,3179119,3339773,50.54185833,50.25725895,58.18823025,1961.7915,1960.2595,4.205122121,4.854322598,0.055035725,-0.029030624
162,1794.24,1761.937062,1757.080854,6859900,6508694,71.74065646,81.22409714,81.13071854,1720.105,1712.3255,50.12757944,51.09087519,0.397965334,0.498033065
2188,1914.55,1980.878247,1990.10008,5067864,4727664,25.89318172,28.79091869,31.14133101,2012.1575,2019.3695,-26.55644872,-23.87561078,-0.157488143,-0.120882513
610,1333.09,1299.006608,1289.31252,9333842,8154217,72.10197367,71.62397594,71.3927614,1251.2665,1242.329,50.7793031,49.43489136,0.105068214,0.14282222
1297,1853.22,1845.412086,1849.616995,3955123,4726806,45.61931731,48.46949721,52.217574,1843.235,1845.648,-3.504154739,-1.814208439,0.027288529,-0.027810191
1707,1933.74,1901.438825,1896.245231,2439890,3009308,58.98289171,59.50822973,54.98818732,1895.8445,1895.773,4.360447618,2.187858687,0.087392644,0.066115282
541,1194.28,1144.337927,1137.841911,4147598,3407810,58.63855242,56.23940486,50.8480348,1131.969,1124.424,15.08843498,13.04050342,0.081317822,0.078542074
1787,1946.14,1989.519047,1994.481058,2077698,1722312,41.09521556,57.10745192,53.66744099,1985.1545,1988.334,-3.473759355,-1.481067103,-0.138983962,-0.136034201
556,1166.56,1134.592705,1129.395528,3452663,2681888,52.83729217,42.67601732,45.92398919,1150.118,1148.6445,-2.179131767,-4.517583654,0.152934934,0.111536338
2135,2068.1,2096.334956,2101.551613,4003641,5411671,40.34226918,36.86178541,40.35024413,2107.42,2109.006,-5.391726713,-3.130943261,-0.020142195,-0.038522848
1217,1840.1,1803.770663,1810.368588,3921007,3396994,41.45085557,38.36957142,43.85360626,1807.7255,1813.015,-41.86713648,-41.75839147,-0.169562047,-0.117773737
23,1411.47,1412.900654,1410.183021,2979357,3146231,68.18681469,66.93828396,66.02797262,1399.2345,1395.7835,14.57245428,14.23404096,0.391609398,0.321106585
1956,2041.86,2053.864768,2058.243606,3334102,3433504,41.5527881,47.65654244,50.76692479,2058.151,2057.998,1.583653734,3.812782017,-0.155097991,-0.1369633
2120,2120.33,2111.144616,2110.474531,3770324,3919239,54.46166807,48.24726152,48.4626763,2129.0165,2128.2545,8.999780251,9.536368311,0.165476584,0.176820357
2024,1929.98,1925.913999,1932.228221,3372983,3072690,28.78630753,29.41689291,30.3379102,1954.87,1957.897,-15.32473803,-13.19823127,-0.154904243,-0.141840243
882,1694.58,1690.903099,1697.097121,4531932,4570590,39.19343846,40.63555734,42.11024468,1717.495,1719.873,-8.840468959,-6.284667859,0.178159349,0.221234466
118,1528.66,1503.013292,1496.562912,4621994,4262384,75.54525185,73.12244011,76.12655622,1474.706,1470.2735,23.9479637,22.39280926,0.248510887,0.23357592
497,1113.06,1075.964385,1074.018693,6216279,7633983,39.75602454,27.34809451,28.78389016,1194.229,1211.9765,-111.2154262,-118.9220533,0.061437459,0.000175304
2438,2042.92,2044.339601,2044.468402,2851831,3604143,56.73020459,59.95457931,57.10353594,2034.081,2033.26,12.43470598,13.31767187,0.025689971,0.085724128
311,1589.06,1678.075829,1687.001569,2753135,2593127,34.43145957,32.65803458,38.54812389,1744.8275,1757.7885,-62.82493875,-62.61285265,-0.043408609,-0.048246219
2361,1976.71,1998.209963,2000.832177,3104925,3281946,47.25889965,43.35515603,50.01364811,1996.7715,1996.3995,5.483828605,7.165094933,0.245920323,0.274544605
1155,2031.93,2075.396681,2081.789277,2341577,2291559,40.67107292,47.40088273,45.35988305,2085.8825,2090.34,-16.06415283,-14.09482664,-0.088231962,-0.014567544
2252,2003.7,1987.635029,1987.140591,4136555,4225171,46.47682921,46.1722981,37.06111532,2013.011,2015.538,-9.862690914,-10.54766987,-0.039284757,-0.08212826
1149,2071.42,2104.26446,2108.912118,2813685,2466206,44.21449113,46.95629742,49.34617748,2104.628,2107.419,-7.823271376,-6.198871964,-0.011068002,-0.032312685
1038,2029.6,2015.983428,2011.195301,3410673,3353521,71.74810648,72.03234206,71.85023353,1978.873,1973.3805,30.41355279,30.07492366,0.350203942,0.350815578
2165,2076.79,2063.186359,2057.696661,6979303,6191288,55.79265843,52.1019328,48.45259767,2066.9725,2064.672,-3.62627959,-6.449087178,0.218646539,0.137976517
1167,2161.75,2095.714507,2084.695508,2904592,2734140,61.20680939,58.19475326,53.94203618,2073.4775,2071.886,3.654857457,-1.456110365,-0.03755652,-0.044784679
863,1743.91,1718.227348,1714.426758,4315907,3696164,65.66244485,58.1724756,58.07293075,1705.1365,1702.513,19.2891524,18.8248564,0.185785158,0.203776838
2140,2052.17,2073.081837,2076.742245,4570205,4273608,37.33314458,34.96776866,38.18320441,2098.441,2101.3185,-13.61062574,-12.62728991,-0.073961653,-0.026890604
287,1919.47,1882.333959,1883.22595,3625822,4018173,46.50000823,40.7648466,42.91658125,1887.3035,1883.3385,-15.08073344,-15.59465282,0.018526576,-0.026196955
1797,1944.48,1956.266899,1956.032877,3795670,2508672,44.30756223,42.51807784,39.28515143,1969.301,1969.4925,-12.10560129,-12.98000302,-0.129229332,-0.093462454
1351,2014.41,2029.866913,2029.450672,5338006,6064125,54.60634682,57.26838864,51.65538832,2024.6675,2023.265,10.94757483,11.54074175,-0.073254447,-0.019802598
1258,1886.12,1884.867806,1880.880652,3272689,2969069,54.43745812,49.95858598,43.36520799,1884.7705,1882.889,16.41479582,15.80430451,0.087386431,0.114529361
1666,1833.31,1842.844754,1843.668033,3130157,4057968,41.27615955,37.53563812,42.84952398,1862.006,1868.0085,-29.83562619,-31.45121475,-0.157131584,-0.255794304
2102,2139.9,2078.884878,2069.757073,4513974,6488463,80.88759313,79.61220872,77.4407673,2052.111,2047.5355,27.33091955,24.76250243,0.192507571,0.144156682
1067,2045.58,2084.807195,2088.164349,3003315,2859358,48.85462568,52.56071388,49.70340838,2091.595,2091.9905,10.68221929,13.12326516,-0.051581818,-0.033793387
2016,1970.95,1976.132188,1975.506008,2951388,3055478,55.19277377,59.5596223,59.55574827,1969.5955,1968.5595,5.844329713,5.889213268,0.051474161,0.077740771
1532,1993.09,1968.986233,1965.856507,3666780,3504967,64.04039063,69.59368531,73.41100541,1940.348,1935.0995,19.55754639,19.2052036,0.226771633,0.273435684
1700,1870.16,1888.677532,1897.468095,4259474,4112356,37.37565478,41.55973008,46.99039474,1901.2655,1904.4135,-1.444690613,2.643780748,-0.045295792,-0.018191216
2066,1990.47,1958.657281,1954.776677,3095437,3475805,63.95399949,61.24727143,58.65929247,1952.685,1949.92,8.964311785,7.713091182,0.084541044,0.066024708
41,1437.49,1422.516839,1419.416137,1930260,2404985,60.45947391,63.34522919,58.7794522,1416.997,1416.135,8.437514321,7.513858027,0.089417551,0.110314649
1428,1822.93,1821.549366,1821.235892,4886835,4546616,46.37967058,39.04238123,44.49445581,1832.845,1836.1545,-13.62486387,-14.60096493,-0.038470049,-0.044694928
