,St,EMAt1,EMAt2,Vt1,Vt2,RSIt1,RSIt2,RSIt3,BBt1,BBt2,MACDt1,MACDt2,CMFt1,CMFt2
913,1707.76,1717.980215,1714.858041,3469850,3037116,62.10946744,61.63449588,65.10526007,1688.294,1682.8315,20.16922191,19.85789731,0.368229064,0.372742177
965,1784.36,1772.07546,1770.487784,3225309,3168557,55.59548644,58.65003489,60.34102771,1759.4275,1758.376,7.533391707,7.224021857,0.133019446,0.086942673
1953,2056.26,2061.083658,2063.280026,3379712,3231155,48.45956906,48.61846296,55.91162571,2058.4765,2059.2295,5.857720636,7.318950652,-0.122237536,-0.166177721
1429,1789.44,1821.80039,1821.549366,4121024,4886835,46.37324151,46.37967058,39.04238123,1831.622,1832.845,-12.70723639,-13.62486387,-0.027815139,-0.038470049
2035,1904.65,1913.129332,1919.640294,2805100,3036879,33.87525654,33.2935926,41.46672052,1925.736,1930.8755,-14.25324778,-12.09500157,-0.15226401,-0.160468175
1095,2013.66,1974.000564,1967.462911,2922595,2912990,53.00140166,49.11818919,44.92903384,1970.246,1970.732,-11.89063323,-15.80266948,0.165182896,0.188643009
1205,1829.5,1800.776073,1805.626312,3109941,3981820,36.05128851,34.13999773,32.86942372,1885.3375,1904.1825,-87.43060518,-90.74724563,-0.14211542,-0.148205324
2190,1829.81,1951.95519,1968.818566,5123139,3975272,18.16386736,22.33252415,25.89318172,1995.1985,2004.6485,-36.01919944,-30.33492348,-0.18669681,-0.160273911
2006,1980.21,1961.444991,1957.646101,3254479,3459241,57.68816547,52.98582251,50.44765476,1953.9615,1951.633,1.333567062,-0.451449391,0.07114293,0.053386319
1870,1939.88,1976.435097,1980.211785,1795412,2273177,38.28084209,39.29106606,40.55116078,1989.136,1990.849,-1.28072814,0.535308901,0.01656506,-0.005695874
1216,1774.08,1810.368588,1823.970497,3396994,3319188,38.36957142,43.85360626,47.16237634,1813.015,1815.2225,-41.75839147,-38.47488942,-0.117773737,-0.129596466
2445,2060.08,2038.367121,2038.379815,3426312,3005062,53.4059072,50.4628059,51.50582317,2041.7005,2039.7865,5.488327823,5.936575057,0.297462991,0.253075742
1287,1856.7,1845.90251,1841.165291,4663319,4064147,51.90649642,49.20821585,49.32804726,1864.878,1860.337,-6.312349234,-8.813861358,0.143583672,0.127028202
1922,2028.93,2010.790976,2009.077859,2746273,3045212,57.62687923,58.15105629,58.95207231,2003.978,2001.799,5.208639406,4.710033123,0.15131782,0.17766899
1273,1902.82,1871.167774,1859.671724,3302359,3893298,59.23236029,58.46922383,58.48997235,1856.1755,1855.9855,8.370803065,3.409990913,-0.00217355,-0.043983825
1291,1826.37,1839.747685,1842.860503,3446457,3786573,45.91320369,45.80602976,48.22470654,1860.5825,1865.1045,-7.717860606,-6.725560951,0.073550543,0.051900388
342,1588.75,1634.626983,1648.001868,2987450,2976677,34.31834517,37.28615004,39.15668222,1674.42,1680.51,-26.41929553,-21.76917192,-0.04130416,-0.068131558
90,1423.89,1421.03579,1423.277076,2541954,2392191,47.18938998,44.70478718,35.26081919,1432.675,1433.025,1.981117724,3.326715939,0.303480906,0.302754888
1538,1997.05,1981.091886,1979.701194,3760714,4579943,61.59842874,60.02823238,59.89986211,1965.6315,1962.524,17.98498362,18.50145217,0.198438117,0.177848244
499,1153.35,1091.140126,1082.709043,5682466,8647496,43.82557311,42.35199725,39.75602454,1167.416,1178.8995,-91.71815751,-101.6493175,0.090419693,0.084225795
2270,1977.96,1958.885432,1956.548861,4750978,4347381,47.38031929,35.55546887,33.59661964,1982.667,1982.341,-16.08924237,-18.10256023,-0.036819743,-0.111356908
1236,1835.4,1773.144795,1762.043639,4315534,3553470,54.1531042,52.83317247,51.45131264,1765.6335,1761.9365,-12.8148681,-19.1517875,-0.044771023,-0.024083052
1406,1904.12,1864.258958,1858.145394,3809092,3762816,54.66783066,54.65685631,48.13788864,1840.531,1835.0655,-7.160382878,-10.77593324,0.345720076,0.266030875
1836,1927.53,1947.685448,1953.859992,2540256,2596198,39.83818496,43.74796163,43.08891852,1955.6575,1956.6765,-1.350508172,1.512796128,0.092720345,0.110866711
